date,currency,rate
2026-01-13,BRL,94.9600
2026-01-13,BYN,175.3800
2026-01-13,CAD,367.4500
2026-01-13,CHF,639.7800
2026-01-13,CNY,73.1200
2026-01-13,CZK,24.5300
2026-01-13,DKK,79.7400
2026-01-13,EUR,595.7500
2026-01-13,GBP,686.7000
2026-01-13,GEL,191.3100
2026-01-13,HKD,65.3900
2026-01-13,HUF,15.4100
2026-01-13,INR,5.6500
2026-01-13,IRR,0.5000
2026-01-13,JPY,3.2300
2026-01-13,KGS,5.8300
2026-01-13,KRW,34.7700
2026-01-13,KWD,1667.5100
2026-01-13,MDL,30.3500
2026-01-13,MXN,28.4800
2026-01-13,MYR,125.5800
2026-01-13,NOK,50.7100
2026-01-13,PLN,141.4700
2026-01-13,RUB,6.4700
2026-01-13,SAR,135.9600
2026-01-13,SEK,55.5900
2026-01-13,SGD,396.5500
2026-01-13,THB,16.3100
2026-01-13,TJS,55.1200
2026-01-13,TRY,11.8200
2026-01-13,UAH,11.7900
2026-01-13,USD,509.8400
2026-01-13,UZS,4.2000
2026-01-13,XDR,695.8100
2026-01-13,ZAR,31.0800
2026-01-14,AED,138.7900
2026-01-14,AMD,13.4900
2026-01-14,AUD,341.3300
2026-01-14,AZN,300.7400
2026-01-14,BRL,94.9200
2026-01-14,BYN,175.2600
2026-01-14,CAD,367.2800
2026-01-14,CHF,638.7000
2026-01-14,CNY,73.0700
2026-01-14,CZK,24.5100
2026-01-14,DKK,79.5900
2026-01-14,EUR,594.6700
2026-01-14,GBP,686.4800
2026-01-14,GEL,191.2800
2026-01-14,HKD,65.3500
2026-01-14,HUF,15.4200
2026-01-14,INR,5.6500
2026-01-14,IRR,0.5000
2026-01-14,JPY,3.2100
2026-01-14,KGS,5.8300
2026-01-14,KRW,34.5800
2026-01-14,KWD,1667.2100
2026-01-14,MDL,30.2000
2026-01-14,MXN,28.4800
2026-01-14,MYR,125.7100
2026-01-14,NOK,50.5600
2026-01-14,PLN,141.2600
2026-01-14,RUB,6.4600
2026-01-14,SAR,135.9300
2026-01-14,SEK,55.5400
2026-01-14,SGD,396.1400
2026-01-14,THB,16.2300
2026-01-14,TJS,54.9900
2026-01-14,TRY,11.8100
2026-01-14,UAH,11.8100
2026-01-14,USD,509.7500
2026-01-14,UZS,4.2100
2026-01-14,XDR,696.5700
2026-01-14,ZAR,31.0300
2026-01-15,AED,138.9800
2026-01-15,AMD,13.5400
2026-01-15,AUD,341.1700
2026-01-15,AZN,301.1400
2026-01-15,BRL,95.0100
2026-01-15,BYN,175.7900
2026-01-15,CAD,367.5900
2026-01-15,CHF,637.4000
2026-01-15,CNY,73.2100
2026-01-15,CZK,24.5800
2026-01-15,DKK,79.6200
2026-01-15,EUR,594.8600
2026-01-15,GBP,686.6300
2026-01-15,GEL,191.5300
2026-01-15,HKD,65.4700
2026-01-15,HUF,15.4200
2026-01-15,INR,5.6500
2026-01-15,IRR,0.5000
2026-01-15,JPY,3.2200
2026-01-15,KGS,5.8400
2026-01-15,KRW,34.5900
2026-01-15,KWD,1669.4400
2026-01-15,MDL,30.1500
2026-01-15,MXN,28.6400
2026-01-15,MYR,126.1600
2026-01-15,NOK,50.7000
2026-01-15,PLN,141.2300
2026-01-15,RUB,6.4900
2026-01-15,SAR,136.1100
2026-01-15,SEK,55.4800
2026-01-15,SGD,396.4800
2026-01-15,THB,16.2600
2026-01-15,TJS,55.1800
2026-01-15,TRY,11.8300
2026-01-15,UAH,11.8600
2026-01-15,USD,510.4300
2026-01-15,UZS,4.2400
2026-01-15,XDR,697.0500
2026-01-15,ZAR,31.1100
2026-01-16,AED,139.1200
2026-01-16,AMD,13.5500
2026-01-16,AUD,342.2300
2026-01-16,AZN,301.4500
2026-01-16,BRL,94.6800
2026-01-16,BYN,176.3800
2026-01-16,CAD,367.5600
2026-01-16,CHF,638.4500
2026-01-16,CNY,73.3400
2026-01-16,CZK,24.5100
2026-01-16,DKK,79.5700
2026-01-16,EUR,594.4900
2026-01-16,GBP,685.6900
2026-01-16,GEL,191.8000
2026-01-16,HKD,65.5100
2026-01-16,HUF,15.4200
2026-01-16,INR,5.6600
2026-01-16,IRR,0.5000
2026-01-16,JPY,3.2200
2026-01-16,KGS,5.8400
2026-01-16,KRW,34.8200
2026-01-16,KWD,1671.1400
2026-01-16,MDL,30.1800
2026-01-16,MXN,28.7200
2026-01-16,MYR,126.1000
2026-01-16,NOK,50.7400
2026-01-16,PLN,141.3000
2026-01-16,RUB,6.5000
2026-01-16,SAR,136.2500
2026-01-16,SEK,55.6400
2026-01-16,SGD,397.0700
2026-01-16,THB,16.3000
2026-01-16,TJS,55.1200
2026-01-16,TRY,11.8300
2026-01-16,UAH,11.7500
2026-01-16,USD,510.9500
2026-01-16,UZS,4.2600
2026-01-16,XDR,697.3800
2026-01-16,ZAR,31.2400
2026-01-19,AED,139.4500
2026-01-19,AMD,13.5900
2026-01-19,AUD,343.4000
